travel_mode,TrvlTime_number,Age,indiv_trvl_frequency,HHVeh,HHsize
0,166.964,46,54,3,5
1,900.0,47,24,3,5
1,1235.0,38,20,2,5
1,801.0,51,30,2,4
1,1799.924,22,48,3,3
1,311.0,47,38,2,5
1,624.0,17,84,4,4
1,2158.0,28,8,1,2
1,2122.0,33,18,2,2
1,2460.0,26,5,1,1
1,505.0,17,84,3,6
1,1080.0,46,36,3,3
1,350.0,60,32,2,3
1,124.0,59,18,2,3
0,1415.0,50,10,1,3
1,19.99998,73,18,1,2
1,1244.175,32,28,2,4
1,240.0,22,51,3,4
0,297.196,40,40,2,5
1,766.0,73,16,2,2
1,2400.0,67,38,2,2
1,176.0,73,16,4,6
1,300.0,46,18,1,5
1,1163.878,39,10,1,1
0,300.0,48,11,0,1
1,1261.0,44,18,2,5
1,171.0,53,78,2,3
0,138.0,31,13,0,3
0,420.518,33,22,2,4
1,1311.0,30,8,1,1
1,264.0,46,15,1,2
0,290.146,34,17,1,4
1,1837.459,64,24,2,2
1,620.0,67,9,1,2
1,2330.0,48,6,2,3
1,560.0,61,18,2,2
1,1380.0,41,24,2,5
1,1081.785,37,34,2,4
1,1045.0,48,20,1,1
1,3000.0,46,33,3,4
0,541.0,19,13,0,1
1,516.0,61,70,2,4
1,787.0,41,40,2,5
0,1350.0,60,30,3,3
0,154.0,51,20,2,2
1,319.0,38,14,1,3
1,1339.576,17,32,2,5
0,380.0,66,15,1,2
1,422.313,54,48,3,3
1,900.0,30,16,2,2
1,3244.126,22,32,4,5
0,1500.0,18,12,2,3
1,1750.0,41,22,2,6
0,67.99998,70,5,0,2
1,1282.0,44,16,2,4
0,300.0,21,5,0,3
0,840.0,16,12,1,4
0,620.0,68,21,1,2
1,2550.0,36,16,2,11
1,2797.0,36,38,2,4
1,1380.0,43,13,1,6
1,635.0,50,11,1,5
1,2150.0,50,17,1,3
1,255.0,35,42,3,3
0,319.99998,39,11,1,5
1,459.0,45,32,1,6
1,900.0,44,11,1,1
1,351.0,72,30,2,2
1,180.0,25,12,3,5
1,1699.0,55,40,2,6
0,120.0,30,19,0,6
1,760.0,48,16,1,3
0,660.0,61,17,1,3
1,1720.0,66,10,1,2
0,216.0,70,14,0,1
1,300.0,31,57,3,3
1,249.888,35,38,2,5
0,126.0,26,12,1,1
1,1200.0,26,9,1,3
0,467.017,55,60,3,4
1,169.0,26,22,1,5
1,639.0,47,22,1,4
1,10264.0,55,8,2,3
1,1369.0,27,11,1,5
1,429.0,82,10,1,2
0,500.0,61,30,2,2
1,200.0,45,24,1,4
1,2124.166,25,26,2,3
1,2400.0,56,36,4,4
1,1334.872,50,26,2,3
1,243.0,62,88,4,5
1,900.0,53,22,2,3
0,368.0,48,34,2,5
1,1732.11,32,9,1,3
1,269.0,40,28,2,4
1,360.0,43,24,2,5
1,597.0,64,6,2,3
1,221.0,44,20,2,4
0,260.0,43,7,1,11
1,840.0,59,38,2,2
1,2280.0,38,36,2,3
1,1960.0,41,3,1,4
1,2283.0,42,30,3,7
1,1886.0,50,32,4,4
1,2354.0,44,24,2,4
1,2176.0,42,18,3,5
0,2350.0,70,24,2,6
1,363.0,31,30,2,2
0,480.0,33,7,1,1
1,958.0,38,66,2,6
1,822.005,51,34,1,4
1,900.0,31,19,1,4
1,1219.0,26,22,1,1
1,942.0,53,18,2,2
1,900.0,60,26,2,2
1,2249.0,60,26,1,1
